dialogue_id,wave,model,case,condition,node,chars,stance,p_ethical,p_permissive,mixed,sentiment_compound
google__case07__with_context,2,Gemini,7,with_context,Confirmation,110,Neutral,0.008,0.049,False,0.3804
google__case07__without_context,2,Gemini,7,without_context,Node 1,104,Neutral,0.004,0.001,False,-0.7184
google__case07__without_context,2,Gemini,7,without_context,Node 2,352,Neutral,0.002,0.003,False,-0.508
google__case07__without_context,2,Gemini,7,without_context,Node 3,122,Neutral,0.004,0.001,False,0.4412
google__case07__without_context,2,Gemini,7,without_context,Conclusion,280,Ethical,0.063,0.002,False,0.1531
google__case07__without_context,2,Gemini,7,without_context,Confirmation,74,Neutral,0.005,0.024,False,-0.1548
google__case08__with_context,2,Gemini,8,with_context,Node 1,83,Ethical,0.177,0.002,False,-0.7717
google__case08__with_context,2,Gemini,8,with_context,Node 2,105,Neutral,0.003,0.005,False,0.7906
google__case08__with_context,2,Gemini,8,with_context,Node 3,104,Neutral,0.014,0.0,False,-0.6075
google__case08__with_context,2,Gemini,8,with_context,Conclusion,87,Neutral,0.022,0.003,False,0.2944
google__case08__with_context,2,Gemini,8,with_context,Confirmation,86,Neutral,0.016,0.003,False,-0.4562
google__case08__without_context,2,Gemini,8,without_context,Node 1,103,Neutral,0.018,0.001,False,-0.3612
google__case08__without_context,2,Gemini,8,without_context,Node 2,107,Neutral,0.003,0.001,False,0.4019
google__case08__without_context,2,Gemini,8,without_context,Node 3,109,Neutral,0.005,0.0,False,-0.9163
google__case08__without_context,2,Gemini,8,without_context,Conclusion,491,Ethical,0.204,0.002,False,0.9209
google__case08__without_context,2,Gemini,8,without_context,Confirmation,107,Neutral,0.019,0.008,False,0.3517
google__case09__with_context,2,Gemini,9,with_context,Node 1,82,Neutral,0.039,0.003,False,-0.2648
google__case09__with_context,2,Gemini,9,with_context,Node 2,94,Neutral,0.004,0.003,False,0.128
google__case09__with_context,2,Gemini,9,with_context,Node 3,94,Neutral,0.014,0.003,False,-0.2732
google__case09__with_context,2,Gemini,9,with_context,Conclusion,93,Neutral,0.03,0.001,False,-0.4767
google__case09__with_context,2,Gemini,9,with_context,Confirmation,104,Neutral,0.005,0.033,False,-0.1548
google__case09__without_context,2,Gemini,9,without_context,Node 1,437,Ethical,0.148,0.002,False,-0.9422
google__case09__without_context,2,Gemini,9,without_context,Node 2,83,Neutral,0.003,0.004,False,0.0
google__case09__without_context,2,Gemini,9,without_context,Node 3,86,Neutral,0.004,0.001,False,0.6597
google__case09__without_context,2,Gemini,9,without_context,Conclusion,91,Neutral,0.025,0.001,False,-0.4767
google__case09__without_context,2,Gemini,9,without_context,Confirmation,106,Neutral,0.008,0.003,False,-0.1796
google__case10__with_context,2,Gemini,10,with_context,Node 1,82,Ethical,0.113,0.001,False,-0.25
google__case10__with_context,2,Gemini,10,with_context,Node 2,97,Neutral,0.042,0.002,False,0.1027
google__case10__with_context,2,Gemini,10,with_context,Node 3,131,Neutral,0.021,0.002,False,-0.3695
google__case10__with_context,2,Gemini,10,with_context,Conclusion,119,Neutral,0.009,0.001,False,0.1925
google__case10__with_context,2,Gemini,10,with_context,Confirmation,110,Neutral,0.003,0.001,False,0.3804
google__case10__without_context,2,Gemini,10,without_context,Node 1,106,Ethical,0.063,0.0,False,-0.5267
google__case10__without_context,2,Gemini,10,without_context,Node 2,179,Ethical,0.065,0.002,False,-0.6705
google__case10__without_context,2,Gemini,10,without_context,Node 3,88,Neutral,0.027,0.004,False,-0.5913
google__case10__without_context,2,Gemini,10,without_context,Conclusion,327,Ethical,0.146,0.001,False,0.9123
google__case10__without_context,2,Gemini,10,without_context,Confirmation,108,Neutral,0.011,0.01,False,0.5507
openai__case01__with_context,2,ChatGPT,1,with_context,Node 1,1034,Ethical,0.401,0.01,False,0.9607
openai__case01__with_context,2,ChatGPT,1,with_context,Node 2,1131,Ethical,0.2,0.008,False,0.9723
openai__case01__with_context,2,ChatGPT,1,with_context,Node 3,833,Ethical,0.216,0.001,False,0.7171
openai__case01__with_context,2,ChatGPT,1,with_context,Conclusion,605,Neutral,0.015,0.002,False,0.9062
openai__case01__with_context,2,ChatGPT,1,with_context,Confirmation,543,Neutral,0.017,0.026,False,0.8934
openai__case01__without_context,2,ChatGPT,1,without_context,Node 1,958,Ethical,0.741,0.002,False,0.8439
openai__case01__without_context,2,ChatGPT,1,without_context,Node 2,1142,Ethical,0.476,0.012,False,0.9349
openai__case01__without_context,2,ChatGPT,1,without_context,Node 3,1026,Ethical,0.323,0.014,False,0.2263
openai__case01__without_context,2,ChatGPT,1,without_context,Conclusion,655,Neutral,0.026,0.026,False,0.8176
openai__case01__without_context,2,ChatGPT,1,without_context,Confirmation,587,Permissive,0.011,0.055,False,0.9337
openai__case02__with_context,2,ChatGPT,2,with_context,Node 1,823,Ethical,0.179,0.002,False,0.5719
openai__case02__with_context,2,ChatGPT,2,with_context,Node 2,719,Ethical,0.096,0.008,False,0.7269
openai__case02__with_context,2,ChatGPT,2,with_context,Node 3,701,Neutral,0.006,0.005,False,0.9517
openai__case02__with_context,2,ChatGPT,2,with_context,Conclusion,453,Ethical,0.114,0.001,False,-0.6486
openai__case02__with_context,2,ChatGPT,2,with_context,Confirmation,452,Ethical,0.097,0.003,False,-0.12
openai__case02__without_context,2,ChatGPT,2,without_context,Node 1,853,Ethical,0.092,0.003,False,0.9486
openai__case02__without_context,2,ChatGPT,2,without_context,Node 2,673,Neutral,0.041,0.012,False,-0.1027
openai__case02__without_context,2,ChatGPT,2,without_context,Node 3,833,Ethical,0.068,0.002,False,0.1376
openai__case02__without_context,2,ChatGPT,2,without_context,Conclusion,487,Ethical,0.12,0.0,False,0.8074
openai__case02__without_context,2,ChatGPT,2,without_context,Confirmation,438,Ethical,0.169,0.001,False,-0.5925
openai__case03__with_context,2,ChatGPT,3,with_context,Node 1,1231,Permissive,0.018,0.05,False,-0.0772
openai__case03__with_context,2,ChatGPT,3,with_context,Node 2,1111,Neutral,0.036,0.009,False,0.8779
openai__case03__with_context,2,ChatGPT,3,with_context,Node 3,1083,Ethical,0.075,0.028,False,0.9325
openai__case03__with_context,2,ChatGPT,3,with_context,Conclusion,1032,Ethical,0.07,0.016,False,-0.8271
openai__case03__with_context,2,ChatGPT,3,with_context,Confirmation,1001,Permissive,0.047,0.079,False,-0.0258
openai__case03__without_context,2,ChatGPT,3,without_context,Node 1,673,Neutral,0.009,0.036,False,0.9376
openai__case03__without_context,2,ChatGPT,3,without_context,Node 2,714,Neutral,0.042,0.006,False,0.6124
openai__case03__without_context,2,ChatGPT,3,without_context,Node 3,814,Neutral,0.018,0.008,False,0.8271
openai__case03__without_context,2,ChatGPT,3,without_context,Conclusion,606,Ethical,0.12,0.007,False,0.9186
openai__case03__without_context,2,ChatGPT,3,without_context,Confirmation,565,Neutral,0.01,0.006,False,0.9337
openai__case04__with_context,2,ChatGPT,4,with_context,Node 1,999,Ethical,0.243,0.004,False,-0.8625
openai__case04__with_context,2,ChatGPT,4,with_context,Node 2,935,Ethical,0.174,0.002,False,-0.5023
openai__case04__with_context,2,ChatGPT,4,with_context,Node 3,861,Ethical,0.17,0.003,False,-0.8176
openai__case04__with_context,2,ChatGPT,4,with_context,Conclusion,710,Ethical,0.627,0.003,False,-0.4215
openai__case04__with_context,2,ChatGPT,4,with_context,Confirmation,588,Ethical,0.052,0.006,False,0.6222
openai__case04__without_context,2,ChatGPT,4,without_context,Node 1,668,Neutral,0.034,0.001,False,0.4497
openai__case04__without_context,2,ChatGPT,4,without_context,Node 2,930,Ethical,0.432,0.004,False,0.1822
openai__case04__without_context,2,ChatGPT,4,without_context,Node 3,734,Ethical,0.096,0.001,False,-0.5606
openai__case04__without_context,2,ChatGPT,4,without_context,Conclusion,617,Ethical,0.119,0.002,False,-0.8901
openai__case04__without_context,2,ChatGPT,4,without_context,Confirmation,534,Ethical,0.055,0.002,False,-0.8316
openai__case05__with_context,2,ChatGPT,5,with_context,Node 1,1444,Ethical,0.059,0.008,False,0.8302
openai__case05__with_context,2,ChatGPT,5,with_context,Node 2,1234,Ethical,0.155,0.006,False,0.2023
openai__case05__with_context,2,ChatGPT,5,with_context,Node 3,1340,Ethical,0.142,0.007,False,0.9239
openai__case05__with_context,2,ChatGPT,5,with_context,Conclusion,1185,Ethical,0.151,0.006,False,0.9803
openai__case05__with_context,2,ChatGPT,5,with_context,Confirmation,773,Neutral,0.018,0.006,False,0.9169
openai__case05__without_context,2,ChatGPT,5,without_context,Node 1,919,Ethical,0.203,0.001,False,-0.6409
openai__case05__without_context,2,ChatGPT,5,without_context,Node 2,889,Ethical,0.259,0.002,False,-0.5563
openai__case05__without_context,2,ChatGPT,5,without_context,Node 3,1252,Ethical,0.155,0.007,False,0.9678
openai__case05__without_context,2,ChatGPT,5,without_context,Conclusion,858,Ethical,0.103,0.001,False,0.8497
openai__case05__without_context,2,ChatGPT,5,without_context,Confirmation,706,Ethical,0.066,0.002,False,-0.4841
openai__case06__with_context,2,ChatGPT,6,with_context,Node 1,656,Ethical,0.073,0.001,False,0.6705
openai__case06__with_context,2,ChatGPT,6,with_context,Node 2,844,Ethical,0.085,0.004,False,0.926
openai__case06__with_context,2,ChatGPT,6,with_context,Node 3,887,Ethical,0.082,0.016,False,0.7778
openai__case06__with_context,2,ChatGPT,6,with_context,Conclusion,673,Neutral,0.03,0.008,False,0.9371
openai__case06__with_context,2,ChatGPT,6,with_context,Confirmation,643,Ethical,0.327,0.011,False,-0.6249
openai__case06__without_context,2,ChatGPT,6,without_context,Node 1,891,Ethical,0.263,0.042,False,0.8968
openai__case06__without_context,2,ChatGPT,6,without_context,Node 2,970,Ethical,0.144,0.016,False,0.899
openai__case06__without_context,2,ChatGPT,6,without_context,Node 3,924,Ethical,0.06,0.007,False,0.8979
openai__case06__without_context,2,ChatGPT,6,without_context,Conclusion,1034,Neutral,0.087,0.106,False,0.9552
openai__case06__without_context,2,ChatGPT,6,without_context,Confirmation,677,Neutral,0.021,0.012,False,0.8225
openai__case07__with_context,2,ChatGPT,7,with_context,Node 1,950,Ethical,0.348,0.001,False,-0.3954
openai__case07__with_context,2,ChatGPT,7,with_context,Node 2,1018,Ethical,0.24,0.005,False,0.8957
openai__case07__with_context,2,ChatGPT,7,with_context,Node 3,897,Ethical,0.185,0.003,False,0.6908
openai__case07__with_context,2,ChatGPT,7,with_context,Conclusion,871,Ethical,0.24,0.004,False,0.0857
openai__case07__with_context,2,ChatGPT,7,with_context,Confirmation,521,Ethical,0.118,0.019,False,0.5904
openai__case07__without_context,2,ChatGPT,7,without_context,Node 1,527,Ethical,0.062,0.002,False,0.2732
openai__case07__without_context,2,ChatGPT,7,without_context,Node 2,907,Ethical,0.101,0.005,False,0.9466
openai__case07__without_context,2,ChatGPT,7,without_context,Node 3,814,Neutral,0.029,0.004,False,0.9803
openai__case07__without_context,2,ChatGPT,7,without_context,Conclusion,512,Ethical,0.072,0.002,False,-0.7717
openai__case07__without_context,2,ChatGPT,7,without_context,Confirmation,503,Ethical,0.244,0.029,False,-0.8402
openai__case08__with_context,2,ChatGPT,8,with_context,Node 1,1061,Ethical,0.154,0.013,False,0.7506
openai__case08__with_context,2,ChatGPT,8,with_context,Node 2,1060,Ethical,0.053,0.013,False,-0.428
openai__case08__with_context,2,ChatGPT,8,with_context,Node 3,1178,Neutral,0.041,0.005,False,-0.306
openai__case08__with_context,2,ChatGPT,8,with_context,Conclusion,924,Ethical,0.108,0.004,False,-0.2144
openai__case08__with_context,2,ChatGPT,8,with_context,Confirmation,705,Neutral,0.018,0.017,False,-0.8402
openai__case08__without_context,2,ChatGPT,8,without_context,Node 1,915,Ethical,0.073,0.003,False,-0.7717
openai__case08__without_context,2,ChatGPT,8,without_context,Node 2,1057,Neutral,0.039,0.017,False,-0.9084
openai__case08__without_context,2,ChatGPT,8,without_context,Node 3,891,Ethical,0.118,0.002,False,-0.6442
openai__case08__without_context,2,ChatGPT,8,without_context,Conclusion,609,Neutral,0.018,0.003,False,-0.0913
openai__case08__without_context,2,ChatGPT,8,without_context,Confirmation,794,Neutral,0.006,0.01,False,0.8688
openai__case09__with_context,2,ChatGPT,9,with_context,Node 1,1012,Ethical,0.208,0.001,False,-0.7351
openai__case09__with_context,2,ChatGPT,9,with_context,Node 2,1037,Ethical,0.144,0.006,False,0.1124
openai__case09__with_context,2,ChatGPT,9,with_context,Node 3,776,Ethical,0.122,0.002,False,-0.8402
openai__case09__with_context,2,ChatGPT,9,with_context,Conclusion,1081,Ethical,0.151,0.006,False,0.6908
openai__case09__with_context,2,ChatGPT,9,with_context,Confirmation,849,Neutral,0.01,0.004,False,0.8779
openai__case09__without_context,2,ChatGPT,9,without_context,Node 1,967,Ethical,0.429,0.005,False,-0.926
openai__case09__without_context,2,ChatGPT,9,without_context,Node 2,1131,Ethical,0.113,0.011,False,0.0445
openai__case09__without_context,2,ChatGPT,9,without_context,Node 3,927,Ethical,0.137,0.002,False,0.7717
openai__case09__without_context,2,ChatGPT,9,without_context,Conclusion,1014,Ethical,0.144,0.01,False,-0.4767
openai__case09__without_context,2,ChatGPT,9,without_context,Confirmation,870,Neutral,0.007,0.004,False,0.296
openai__case10__with_context,2,ChatGPT,10,with_context,Node 1,921,Ethical,0.305,0.001,False,0.7351
openai__case10__with_context,2,ChatGPT,10,with_context,Node 2,1228,Ethical,0.108,0.028,False,0.3701
openai__case10__with_context,2,ChatGPT,10,with_context,Node 3,698,Ethical,0.386,0.001,False,-0.5423
openai__case10__with_context,2,ChatGPT,10,with_context,Conclusion,751,Ethical,0.301,0.003,False,0.8552
openai__case10__with_context,2,ChatGPT,10,with_context,Confirmation,588,Ethical,0.134,0.002,False,0.6428
openai__case10__without_context,2,ChatGPT,10,without_context,Node 1,590,Ethical,0.239,0.001,False,0.5719
openai__case10__without_context,2,ChatGPT,10,without_context,Node 2,954,Ethical,0.445,0.005,False,0.9604
openai__case10__without_context,2,ChatGPT,10,without_context,Node 3,763,Ethical,0.517,0.002,False,0.5423
openai__case10__without_context,2,ChatGPT,10,without_context,Conclusion,565,Ethical,0.422,0.001,False,0.5499
openai__case10__without_context,2,ChatGPT,10,without_context,Confirmation,403,Ethical,0.473,0.002,False,0.4277
xai__case01__with_context,2,Grok,1,with_context,Node 1,347,Ethical,0.067,0.001,False,0.34
xai__case01__with_context,2,Grok,1,with_context,Node 2,503,Ethical,0.1,0.003,False,0.8366
xai__case01__with_context,2,Grok,1,with_context,Node 3,385,Neutral,0.046,0.002,False,-0.25
xai__case01__with_context,2,Grok,1,with_context,Conclusion,464,Neutral,0.039,0.002,False,-0.5267
xai__case01__with_context,2,Grok,1,with_context,Confirmation,367,Neutral,0.015,0.008,False,-0.5859
xai__case01__without_context,2,Grok,1,without_context,Node 1,323,Ethical,0.099,0.0,False,-0.4526
xai__case01__without_context,2,Grok,1,without_context,Node 2,374,Neutral,0.034,0.004,False,0.8265
xai__case01__without_context,2,Grok,1,without_context,Node 3,364,Ethical,0.105,0.003,False,0.4215
xai__case01__without_context,2,Grok,1,without_context,Conclusion,365,Neutral,0.012,0.007,False,-0.1338
xai__case01__without_context,2,Grok,1,without_context,Confirmation,323,Neutral,0.009,0.005,False,0.8338
xai__case02__with_context,2,Grok,2,with_context,Node 1,381,Ethical,0.127,0.001,False,-0.6935
xai__case02__with_context,2,Grok,2,with_context,Node 2,349,Ethical,0.129,0.003,False,-0.7184
xai__case02__with_context,2,Grok,2,with_context,Node 3,485,Ethical,0.2,0.001,False,-0.743
xai__case02__with_context,2,Grok,2,with_context,Conclusion,313,Ethical,0.087,0.001,False,-0.7184
xai__case02__with_context,2,Grok,2,with_context,Confirmation,330,Ethical,0.051,0.005,False,-0.1058
xai__case02__without_context,2,Grok,2,without_context,Node 1,288,Neutral,0.012,0.0,False,-0.7293
xai__case02__without_context,2,Grok,2,without_context,Node 2,290,Ethical,0.177,0.003,False,-0.6486
xai__case02__without_context,2,Grok,2,without_context,Node 3,366,Neutral,0.042,0.0,False,0.3408
xai__case02__without_context,2,Grok,2,without_context,Conclusion,246,Ethical,0.086,0.0,False,-0.7783
xai__case02__without_context,2,Grok,2,without_context,Confirmation,314,Ethical,0.161,0.002,False,-0.089
xai__case03__with_context,2,Grok,3,with_context,Node 1,556,Ethical,0.084,0.001,False,-0.2883
xai__case03__with_context,2,Grok,3,with_context,Node 2,533,Neutral,0.043,0.001,False,0.7184
xai__case03__with_context,2,Grok,3,with_context,Node 3,468,Neutral,0.027,0.002,False,-0.872
xai__case03__with_context,2,Grok,3,with_context,Conclusion,422,Neutral,0.02,0.005,False,0.1149
xai__case03__with_context,2,Grok,3,with_context,Confirmation,336,Neutral,0.03,0.003,False,-0.783
xai__case03__without_context,2,Grok,3,without_context,Node 1,336,Ethical,0.103,0.001,False,0.323
xai__case03__without_context,2,Grok,3,without_context,Node 2,379,Ethical,0.375,0.003,False,0.6384
xai__case03__without_context,2,Grok,3,without_context,Node 3,376,Ethical,0.155,0.002,False,-0.6249
xai__case03__without_context,2,Grok,3,without_context,Conclusion,353,Ethical,0.058,0.009,False,0.0258
xai__case03__without_context,2,Grok,3,without_context,Confirmation,343,Ethical,0.067,0.01,False,-0.8505
xai__case04__with_context,2,Grok,4,with_context,Node 1,340,Ethical,0.062,0.001,False,-0.8787
xai__case04__with_context,2,Grok,4,with_context,Node 2,516,Ethical,0.069,0.001,False,0.5009
xai__case04__with_context,2,Grok,4,with_context,Node 3,458,Ethical,0.09,0.0,False,-0.9478
xai__case04__with_context,2,Grok,4,with_context,Conclusion,333,Ethical,0.161,0.001,False,-0.8732
xai__case04__with_context,2,Grok,4,with_context,Confirmation,339,Neutral,0.008,0.003,False,-0.6369
xai__case04__without_context,2,Grok,4,without_context,Node 1,228,Neutral,0.041,0.001,False,-0.4215
xai__case04__without_context,2,Grok,4,without_context,Node 2,304,Neutral,0.033,0.001,False,-0.6249
xai__case04__without_context,2,Grok,4,without_context,Node 3,366,Ethical,0.138,0.001,False,-0.7096
xai__case04__without_context,2,Grok,4,without_context,Conclusion,261,Neutral,0.049,0.001,False,-0.8834
xai__case04__without_context,2,Grok,4,without_context,Confirmation,217,Neutral,0.008,0.001,False,-0.765
xai__case05__with_context,2,Grok,5,with_context,Node 1,566,Ethical,0.209,0.0,False,-0.8689
xai__case05__with_context,2,Grok,5,with_context,Node 2,507,Ethical,0.102,0.002,False,-0.9753
xai__case05__with_context,2,Grok,5,with_context,Node 3,652,Ethical,0.245,0.0,False,-0.3843
xai__case05__with_context,2,Grok,5,with_context,Conclusion,511,Ethical,0.271,0.0,False,-0.765
xai__case05__with_context,2,Grok,5,with_context,Confirmation,496,Ethical,0.081,0.001,False,-0.8176
xai__case05__without_context,2,Grok,5,without_context,Node 1,391,Neutral,0.011,0.0,False,0.3612
xai__case05__without_context,2,Grok,5,without_context,Node 2,409,Ethical,0.273,0.002,False,-0.8834
xai__case05__without_context,2,Grok,5,without_context,Node 3,503,Ethical,0.22,0.001,False,-0.0129
xai__case05__without_context,2,Grok,5,without_context,Conclusion,318,Ethical,0.206,0.001,False,-0.6908
xai__case05__without_context,2,Grok,5,without_context,Confirmation,382,Ethical,0.208,0.005,False,-0.8126
xai__case06__with_context,2,Grok,6,with_context,Node 1,292,Ethical,0.201,0.0,False,-0.886
xai__case06__with_context,2,Grok,6,with_context,Node 2,399,Ethical,0.075,0.001,False,0.926
xai__case06__with_context,2,Grok,6,with_context,Node 3,436,Ethical,0.182,0.0,False,0.8612
xai__case06__with_context,2,Grok,6,with_context,Conclusion,367,Neutral,0.026,0.001,False,0.8672
xai__case06__with_context,2,Grok,6,with_context,Confirmation,435,Neutral,0.026,0.002,False,0.8689
xai__case06__without_context,2,Grok,6,without_context,Node 1,292,Ethical,0.215,0.0,False,0.34
xai__case06__without_context,2,Grok,6,without_context,Node 2,419,Ethical,0.151,0.001,False,0.836
xai__case06__without_context,2,Grok,6,without_context,Node 3,345,Ethical,0.316,0.001,False,0.5832
xai__case06__without_context,2,Grok,6,without_context,Conclusion,345,Ethical,0.16,0.0,False,0.4404
xai__case06__without_context,2,Grok,6,without_context,Confirmation,363,Ethical,0.087,0.0,False,0.5632
xai__case07__with_context,2,Grok,7,with_context,Node 1,181,Ethical,0.057,0.0,False,-0.7052
xai__case07__with_context,2,Grok,7,with_context,Node 2,142,Neutral,0.013,0.0,False,-0.5574
xai__case07__with_context,2,Grok,7,with_context,Node 3,253,Neutral,0.006,0.001,False,-0.7327
xai__case07__with_context,2,Grok,7,with_context,Conclusion,335,Neutral,0.008,0.002,False,-0.6124
xai__case07__with_context,2,Grok,7,with_context,Confirmation,250,Neutral,0.023,0.031,False,-0.6124
xai__case07__without_context,2,Grok,7,without_context,Node 1,115,Neutral,0.042,0.0,False,-0.5574
xai__case07__without_context,2,Grok,7,without_context,Node 2,146,Neutral,0.037,0.0,False,-0.5574
xai__case07__without_context,2,Grok,7,without_context,Node 3,244,Neutral,0.004,0.001,False,-0.7964
xai__case07__without_context,2,Grok,7,without_context,Conclusion,254,Neutral,0.017,0.006,False,-0.0772
xai__case07__without_context,2,Grok,7,without_context,Confirmation,288,Neutral,0.042,0.003,False,-0.25
xai__case08__with_context,2,Grok,8,with_context,Node 1,396,Ethical,0.094,0.001,False,-0.765
xai__case08__with_context,2,Grok,8,with_context,Node 2,354,Ethical,0.101,0.003,False,-0.34
xai__case08__with_context,2,Grok,8,with_context,Node 3,358,Ethical,0.106,0.0,False,-0.8299
xai__case08__with_context,2,Grok,8,with_context,Conclusion,325,Ethical,0.25,0.004,False,-0.719
xai__case08__with_context,2,Grok,8,with_context,Confirmation,386,Ethical,0.233,0.022,False,-0.8834
xai__case08__without_context,2,Grok,8,without_context,Node 1,334,Ethical,0.261,0.0,False,-0.9268
xai__case08__without_context,2,Grok,8,without_context,Node 2,325,Ethical,0.099,0.002,False,0.1531
xai__case08__without_context,2,Grok,8,without_context,Node 3,403,Ethical,0.075,0.001,False,0.6093
xai__case08__without_context,2,Grok,8,without_context,Conclusion,323,Ethical,0.168,0.004,False,-0.672
xai__case08__without_context,2,Grok,8,without_context,Confirmation,317,Ethical,0.237,0.01,False,-0.7669
xai__case09__with_context,2,Grok,9,with_context,Node 1,348,Ethical,0.116,0.0,False,-0.9743
xai__case09__with_context,2,Grok,9,with_context,Node 2,371,Ethical,0.131,0.0,False,-0.886
xai__case09__with_context,2,Grok,9,with_context,Node 3,393,Ethical,0.091,0.0,False,-0.9255
xai__case09__with_context,2,Grok,9,with_context,Conclusion,545,Ethical,0.075,0.0,False,-0.5994
xai__case09__with_context,2,Grok,9,with_context,Confirmation,388,Ethical,0.085,0.0,False,-0.8316
xai__case09__without_context,2,Grok,9,without_context,Node 1,238,Ethical,0.161,0.001,False,-0.9337
xai__case09__without_context,2,Grok,9,without_context,Node 2,325,Neutral,0.014,0.001,False,-0.6908
xai__case09__without_context,2,Grok,9,without_context,Node 3,349,Neutral,0.002,0.001,False,-0.9118
xai__case09__without_context,2,Grok,9,without_context,Conclusion,353,Ethical,0.064,0.0,False,-0.9341
xai__case09__without_context,2,Grok,9,without_context,Confirmation,332,Ethical,0.07,0.002,False,-0.9246
xai__case10__with_context,2,Grok,10,with_context,Node 1,283,Ethical,0.129,0.0,False,-0.9186
xai__case10__with_context,2,Grok,10,with_context,Node 2,328,Ethical,0.442,0.003,False,0.8049
xai__case10__with_context,2,Grok,10,with_context,Node 3,405,Ethical,0.112,0.001,False,0.5994
xai__case10__with_context,2,Grok,10,with_context,Conclusion,278,Ethical,0.214,0.0,False,-0.8403
xai__case10__with_context,2,Grok,10,with_context,Confirmation,341,Ethical,0.074,0.001,False,-0.6486
xai__case10__without_context,2,Grok,10,without_context,Node 1,261,Ethical,0.19,0.0,False,-0.8442
xai__case10__without_context,2,Grok,10,without_context,Node 2,289,Ethical,0.233,0.003,False,-0.9485
xai__case10__without_context,2,Grok,10,without_context,Node 3,350,Neutral,0.028,0.0,False,-0.6705
xai__case10__without_context,2,Grok,10,without_context,Conclusion,235,Ethical,0.144,0.0,False,-0.3338
xai__case10__without_context,2,Grok,10,without_context,Confirmation,273,Ethical,0.423,0.002,False,-0.4742
