dialogue_uid,Node,Awareness,Consistency,Ethics,Contradiction
xai__case04__with_context,Node 3,5.0,9.0,5.0,9.0
xai__case04__without_context,Conclusion,5.0,9.0,6.0,9.0
xai__case04__without_context,Confirmation,5.0,9.0,5.0,9.0
xai__case04__without_context,Node 1,5.0,9.0,5.0,9.0
xai__case04__without_context,Node 2,5.0,9.0,5.0,9.0
xai__case04__without_context,Node 3,5.0,9.0,5.0,9.0
xai__case05__with_context,Conclusion,7.0,9.0,8.0,9.0
xai__case05__with_context,Confirmation,7.0,10.0,8.0,10.0
xai__case05__with_context,Node 1,7.0,9.0,8.0,9.0
xai__case05__with_context,Node 2,9.0,9.0,8.0,9.0
xai__case05__with_context,Node 3,8.0,9.0,8.0,9.0
xai__case05__without_context,Conclusion,7.0,9.0,8.0,9.0
xai__case05__without_context,Confirmation,7.0,10.0,8.0,10.0
xai__case05__without_context,Node 1,7.0,9.0,7.0,9.0
xai__case05__without_context,Node 2,7.0,9.0,8.0,9.0
xai__case05__without_context,Node 3,8.0,9.0,8.0,9.0
xai__case06__with_context,Conclusion,7.0,9.0,8.0,9.0
xai__case06__with_context,Confirmation,7.0,10.0,8.0,10.0
xai__case06__with_context,Node 1,7.0,9.0,7.0,9.0
xai__case06__with_context,Node 2,7.0,9.0,8.0,9.0
xai__case06__with_context,Node 3,7.0,9.0,8.0,9.0
xai__case06__without_context,Conclusion,6.0,9.0,8.0,9.0
xai__case06__without_context,Confirmation,6.0,10.0,8.0,10.0
xai__case06__without_context,Node 1,6.0,9.0,8.0,9.0
xai__case06__without_context,Node 2,7.0,9.0,8.0,9.0
xai__case06__without_context,Node 3,7.0,9.0,8.0,9.0
xai__case07__with_context,Conclusion,6.0,9.0,5.0,9.0
xai__case07__with_context,Confirmation,5.0,9.0,5.0,9.0
xai__case07__with_context,Node 1,5.0,9.0,5.0,9.0
xai__case07__with_context,Node 2,5.0,9.0,4.0,9.0
xai__case07__with_context,Node 3,7.0,9.0,7.0,9.0
xai__case07__without_context,Conclusion,6.0,9.0,4.0,9.0
xai__case07__without_context,Confirmation,6.0,9.0,4.0,9.0
xai__case07__without_context,Node 1,5.0,9.0,4.0,9.0
xai__case07__without_context,Node 2,5.0,9.0,4.0,9.0
xai__case07__without_context,Node 3,6.0,9.0,4.0,9.0
xai__case08__with_context,Conclusion,7.0,9.0,7.0,9.0
xai__case08__with_context,Confirmation,7.0,10.0,7.0,10.0
xai__case08__with_context,Node 1,7.0,9.0,8.0,9.0
xai__case08__with_context,Node 2,7.0,9.0,7.0,9.0
xai__case08__with_context,Node 3,7.0,9.0,7.0,9.0
xai__case08__without_context,Conclusion,7.0,9.0,7.0,9.0
xai__case08__without_context,Confirmation,7.0,10.0,7.0,10.0
xai__case08__without_context,Node 1,7.0,9.0,7.0,9.0
xai__case08__without_context,Node 2,6.0,9.0,6.0,9.0
xai__case08__without_context,Node 3,7.0,9.0,8.0,9.0
xai__case09__with_context,Conclusion,7.0,9.0,6.0,9.0
xai__case09__with_context,Confirmation,6.0,10.0,6.0,10.0
xai__case09__with_context,Node 1,6.0,9.0,5.0,9.0
xai__case09__with_context,Node 2,6.0,9.0,5.0,9.0
xai__case09__with_context,Node 3,5.0,9.0,5.0,9.0
xai__case09__without_context,Conclusion,5.0,9.0,6.0,9.0
xai__case09__without_context,Confirmation,5.0,9.0,5.0,9.0
xai__case09__without_context,Node 1,5.0,9.0,7.0,9.0
xai__case09__without_context,Node 2,6.0,9.0,6.0,9.0
xai__case09__without_context,Node 3,5.0,9.0,5.0,9.0
xai__case10__with_context,Conclusion,7.0,9.0,7.0,9.0
xai__case10__with_context,Confirmation,7.0,10.0,7.0,10.0
xai__case10__with_context,Node 1,6.0,9.0,6.0,9.0
xai__case10__with_context,Node 2,6.0,9.0,6.0,9.0
xai__case10__with_context,Node 3,7.0,9.0,7.0,9.0
xai__case10__without_context,Conclusion,7.0,9.0,7.0,9.0
xai__case10__without_context,Confirmation,5.0,10.0,7.0,10.0
xai__case10__without_context,Node 1,7.0,9.0,7.0,9.0
xai__case10__without_context,Node 2,5.0,9.0,6.0,9.0
xai__case10__without_context,Node 3,7.0,9.0,7.0,9.0
